item_id,name,count
3504,Large Cap Battery II,183
16519,'Arbalest' Cruise Launcher I,181
3033,Small Focused Beam Laser II,181
1335,Reinforced Bulkheads II,180
3831,Medium Shield Extender II,178
4027,Fleeting Compact Stasis Webifier,178
8089,Arbalest Compact Light Missile Launcher,178
21640,Valkyrie II,176
29009,Targeting Range Script,175
2454,Hobgoblin I,174
3090,425mm Railgun II,172
41220,Thukker Large Cap Battery,172
2889,200mm AutoCannon II,171
31724,Medium EM Shield Reinforcer II,171
35790,Missile Guidance Computer II,167
26088,Large Core Defense Field Extender I,166
28576,Mining Laser Upgrade II,164
31882,Federation Navy Hammerhead,163
31059,Medium Trimark Armor Pump II,162
32006,Navy Cap Booster 400,162
24495,Scourge Fury Light Missile,159
26450,Large Core Defense Field Purger II,158
31053,Medium Auxiliary Nano Pump II,158
31932,Republic Fleet Large Shield Extender,158
35656,10MN Y-S8 Compact Afterburner,157
2301,EM Shield Hardener II,155
2446,Ogre II,155
24443,Shield Boost Amplifier II,154
2175,Infiltrator II,152
27361,Caldari Navy Scourge Light Missile,151
3888,Co-Processor II,151
9632,Compact Multispectrum Shield Hardener,149
12102,Large Remote Capacitor Transmitter II,148
30486,Sisters Combat Scanner Probe,148
35660,50MN Quad LiF Restrained Microwarpdrive,147
8529,Large F-S9 Regolith Compact Shield Extender,146
31366,Medium Ancillary Current Router II,145
17559,Federation Navy Stasis Webifier,143
47466,Praxis,143
2466,Hornet II,142
2913,425mm AutoCannon II,142
31047,Medium Auxiliary Nano Pump I,141
4025,X5 Enduring Stasis Webifier,136
4250,Small Tractor Beam II,136
30013,Core Scanner Probe I,135
20353,1600mm Steel Plates II,133
30836,Salvager II,133
31884,Federation Navy Ogre,131
32014,Navy Cap Booster 800,130
482,Miner II,127
2969,720mm Howitzer Artillery II,126
4871,Large Compact Pb-Acid Cap Battery,126
2897,220mm Vulcan AutoCannon II,125
6001,1MN Y-S8 Compact Afterburner,125
28758,Sisters Core Probe Launcher,124
31718,Medium EM Shield Reinforcer I,124
17526,Imperial Navy Cap Recharger,123
21638,Vespa II,121
2553,EM Shield Amplifier II,121
31788,Small Core Defense Field Extender I,121
2929,800mm Repeating Cannon II,119
3025,Heavy Beam Laser II,118
1306,Multispectrum Coating II,117
17918,Rattlesnake,117
11577,Improved Cloaking Device II,114
26929,Small Processor Overclocking Unit I,114
28756,Sisters Expanded Probe Launcher,112
1236,Overdrive Injector System II,111
15810,Imperial Navy Heat Sink,111
25894,Large Trimark Armor Pump I,111
16062,Caldari Navy Cruise Missile Launcher,108
5839,IFFA Compact Damage Control,108
12346,200mm Railgun II,106
3074,150mm Railgun II,106
21740,Caldari Navy Antimatter Charge L,105
24438,Omnidirectional Tracking Link II,105
31880,Federation Navy Hobgoblin,105
33101,Medium Ancillary Armor Repairer,105
19806,Target Painter II,104
33681,Gecko,103
394,Shield Recharger II,103
15729,Imperial Navy Energized Adaptive Nano Membrane,101
35794,Missile Range Script,101
9491,1400mm 'Scout' Artillery I,99
33076,Small Ancillary Armor Repairer,98
35658,5MN Quad LiF Restrained Microwarpdrive,98
6160,F-90 Compact Sensor Booster,98
7997,XR-3200 Heavy Missile Bay,98
31874,Caldari Navy Vespa,97
31716,Small EM Shield Reinforcer I,95
31900,Imperial Navy 1600mm Steel Plates,95
31055,Medium Trimark Armor Pump I,94
3568,Small Capacitor Booster II,94
41155,ECCM Script,94
31358,Small Ancillary Current Router I,93
35795,Missile Precision Script,93
5971,5MN Cold-Gas Enduring Microwarpdrive,93
2679,Scourge Rage Heavy Assault Missile,92
2046,Damage Control I,91
41034,AE-K Compact Drone Damage Amplifier,91
24499,Inferno Fury Light Missile,90
27371,Caldari Navy Inferno Light Missile,90
41490,Navy Cap Booster 3200,90
35661,500MN Y-T8 Compact Microwarpdrive,89
29984,Tengu,88
35771,Missile Guidance Enhancer II,88
4347,Pithum A-Type Multispectrum Shield Hardener,88
43551,Mining Foreman Burst II,88
11648,Thermal Armor Hardener II,87
13001,Small Energy Nosferatu II,87
15895,Federation Navy Magnetic Field Stabilizer,87
17912,Modulated Strip Miner II,87
31376,Small Capacitor Control Circuit II,87
3540,Large Armor Repairer II,87
8007,Experimental SV-2000 Rapid Light Missile Launcher,87
31890,Republic Fleet Valkyrie,86
6003,1MN Monopropellant Enduring Afterburner,86
7367,250mm Prototype Gauss Gun,86
12271,Heavy Energy Neutralizer II,85
12612,Void S,85
31866,Imperial Navy Infiltrator,85
23105,Imperial Navy Multifrequency L,84
24348,Small Tractor Beam I,84
438,1MN Afterburner II,84
31370,Small Capacitor Control Circuit I,83
35662,500MN Quad LiF Restrained Microwarpdrive,83
578,Multispectrum Shield Hardener I,83
1182,Auto Targeting System I,82
22177,Relic Analyzer I,81
2303,Thermal Shield Hardener II,81
2629,Scourge Fury Heavy Missile,81
27441,Caldari Navy Scourge Heavy Missile,81
3578,Heavy Capacitor Booster II,81
45999,Agency 'Pyrolancea' DB5 Dose II,81
23025,Caldari Navy Antimatter Charge M,80
3496,Medium Cap Battery II,80
13003,Small Energy Neutralizer II,79
12274,Ballistic Control System I,78
26448,Large Core Defense Field Extender II,78
41212,Republic Fleet Small Cap Battery,78
12789,Void M,77
22175,Data Analyzer I,77
31794,Small Core Defense Field Extender II,77
5445,Initiated Compact Warp Scrambler,77
8517,Medium F-S9 Regolith Compact Shield Extender,77
5443,Faint Epsilon Scoped Warp Scrambler,76
5975,50MN Cold-Gas Enduring Microwarpdrive,76
11370,Prototype Cloaking Device I,75
14278,200mm Prototype Gauss Gun,75
25896,Large Auxiliary Nano Pump I,75
31119,Medium Cargohold Optimization I,75
4395,Medium Processor Overclocking Unit I,75
47257,Assault Damage Control II,75
4787,Small Compact Pb-Acid Cap Battery,75
11325,1600mm Rolled Tungsten Compact Plates,74
15806,Republic Fleet Gyrostabilizer,74
3065,Tachyon Beam Laser II,74
32780,X-Large Ancillary Shield Booster,74
41057,Heavy Stasis Grappler II,74
45626,Tengu Core - Augmented Graviton Reactor,74
12267,Medium Energy Neutralizer II,73
27447,Caldari Navy Inferno Heavy Missile,73
31722,Small EM Shield Reinforcer II,73
12076,50MN Microwarpdrive II,72
15766,Federation Navy 10MN Afterburner,72
2486,Warrior I,72
2539,Thermal Shield Amplifier II,72
2977,280mm Howitzer Artillery II,72
31754,Medium Thermal Shield Reinforcer I,72
33890,Small Transverse Bulkhead I,72
45601,Tengu Offensive - Accelerated Ejection Bay,72
12791,Void L,71
3756,Gnosis,71
43555,Shield Command Burst II,70
2613,Mjolnir Fury Light Missile,69
27387,Caldari Navy Mjolnir Light Missile,69
37805,Republic Fleet Shield Recharger,68
41215,Republic Fleet Medium Cap Battery,68
11646,Explosive Armor Hardener II,67
2183,Hammerhead I,67
380,Small Shield Extender II,67
5955,100MN Monopropellant Enduring Afterburner,67
14238,Shadow Serpentis Tracking Computer,66
2024,Medium Capacitor Booster II,66
24497,Nova Fury Light Missile,66
4397,Large Processor Overclocking Unit I,66
15683,Republic Fleet Ballistic Control System,65
47448,C3-X 'Hivaa Saitsuo' Ballistic Control System,65
1183,Small Armor Repairer II,64
12816,Conflagration L,64
23089,Imperial Navy Multifrequency M,64
31760,Medium Thermal Shield Reinforcer II,64
46002,Agency 'Hardshell' TB5 Dose II,64
19207,Pith X-Type Large Shield Booster,63
26076,Large EM Shield Reinforcer I,63
31165,Small Hyperspatial Velocity Optimizer II,63
31944,Republic Fleet Target Painter,63
43552,Armor Command Burst II,63
8117,Prototype 'Arbalest' Torpedo Launcher,63
9950,Standard Blue Pill Booster,63
12820,Scorch L,62
1436,Auto Targeting System II,62
19198,Gist X-Type X-Large Shield Booster,62
19215,Pithum C-Type EM Shield Amplifier,62
21896,Republic Fleet EMP M,62
3130,Heavy Electron Blaster II,62
33180,Scan Rangefinding Array I,62
4393,Drone Damage Amplifier I,62
7087,Mega Modulated Pulse Energy Beam I,62
1355,Reactor Control Unit II,61
17482,Strip Miner I,61
24698,Drake,61
27381,Caldari Navy Nova Light Missile,61
4435,Eutectic Compact Cap Recharger,61
645,Dominix,61
17740,Vindicator,60
209,Scourge Heavy Missile,60
26328,Large Drone Mining Augmentor II,60
31057,Small Trimark Armor Pump II,60
31213,Small Gravity Capacitor Upgrade I,60
31824,Medium Core Defense Operational Solidifier II,60
42695,Shield Harmonizing Charge,60
21898,Republic Fleet EMP S,59
230,Antimatter Charge M,59
24395,Drone Navigation Computer I,59
31153,Small Low Friction Nozzle Joints I,59
10998,Warp Core Stabilizer I,58
11105,Vortex Compact Magnetic Field Stabilizer,58
11289,Cap Booster 800,58
18883,Centum A-Type Energized Adaptive Nano Membrane,58
31167,Medium Hyperspatial Velocity Optimizer II,58
3170,Light Ion Blaster II,58
31872,Caldari Navy Hornet,58
626,Vexor,58
10858,Large Shield Booster II,57
2420,Torpedo Launcher II,57
24417,Drone Navigation Computer II,57
26442,Large Thermal Shield Reinforcer II,57
31011,Medium Explosive Armor Reinforcer I,57
33400,Bastion Module I,57
4833,Medium F-RX Compact Capacitor Booster,57
19208,Pith X-Type X-Large Shield Booster,56
24511,Inferno Fury Heavy Missile,56
26084,Large Core Defense Field Purger I,56
26436,Large EM Shield Reinforcer II,56
28272,'Augmented' Hammerhead,56
31892,Republic Fleet Berserker,56
33900,Large Transverse Bulkhead II,56
2195,Praetor II,55
28606,Orca,55
440,5MN Microwarpdrive II,55
4477,Small Gremlin Compact Energy Neutralizer,55
47271,Leshak,55
5439,J5b Enduring Warp Scrambler,55
17736,Nightmare,54
2333,Survey Scanner II,54
24490,Mjolnir Rage Heavy Assault Missile,54
31177,Small Polycarbon Engine Housing I,54
31864,Imperial Navy Acolyte,54
47930,Occult M,54
10250,Mining Drone II,53
24533,Scourge Fury Cruise Missile,53
25900,Large Remote Repair Augmentor I,53
2621,Inferno Fury Cruise Missile,53
31364,Small Ancillary Current Router II,53
42696,Shield Extension Charge,53
8133,Mark I Compact Capacitor Flux Coil,53
2203,Acolyte I,52
23071,Imperial Navy Multifrequency S,52
29990,Loki,52
31051,Small Auxiliary Nano Pump II,52
33470,Stratios,52
33848,Sentient Drone Damage Amplifier,52
3829,Medium Shield Extender I,52
42833,Rapid Repair Charge,52
22542,Mining Laser Upgrade I,51
23705,Vespa EC-600,51
2464,Hornet I,51
27453,Caldari Navy Nova Heavy Missile,51
3138,Heavy Ion Blaster II,51
6173,Optical Compact Tracking Computer,51
16475,Heavy Gremlin Compact Energy Neutralizer,50
33842,Federation Navy Drone Damage Amplifier,50
210,Scourge Light Missile,49
222,Antimatter Charge S,49
25888,Large Explosive Armor Reinforcer I,49
2961,1400mm Howitzer Artillery II,49
34282,Polarized Neutron Blaster Cannon,49
42830,Mining Laser Optimization Charge,49
5141,Small Ghoul Compact Energy Nosferatu,49
7171,Tachyon Modulated Energy Beam I,49
7287,150mm Prototype Gauss Gun,49
30987,Small Trimark Armor Pump I,48
31065,Medium Nanobot Accelerator I,48
31870,Imperial Navy Praetor,48
31928,Republic Fleet Medium Shield Extender,48
32772,Medium Ancillary Shield Booster,48
33892,Small Transverse Bulkhead II,48
3608,Large Remote Shield Booster II,48
16487,Large Inductive Compact Remote Capacitor Transmitter,47
18789,Coreli A-Type Multispectrum Coating,47
23416,'Peace' Large Remote Armor Repairer,47
2478,Berserker II,47
26302,Large Trimark Armor Pump II,47
26913,Medium Remote Armor Repairer II,47
3041,Small Focused Pulse Laser II,47
33468,Astero,47
47929,Meson Exotic Plasma M,47
5849,Extruded Compact Heat Sink,47
621,Caracal,47
12785,Null M,46
1969,Remote Sensor Dampener II,46
19814,Phased Scoped Target Painter,46
28578,Ice Harvester Upgrade II,46
3839,Large Shield Extender I,46
42829,Mining Laser Field Enhancement Charge,46
4391,Large Ancillary Shield Booster,46
5933,Counterbalanced Compact Gyrostabilizer,46
6073,Medium Compact Pb-Acid Cap Battery,46
8225,Mark I Compact Power Diagnostic System,46
15479,Standard Exile Booster,45
19045,Corpus X-Type Large Armor Repairer,45
19191,Pithum A-Type Medium Shield Booster,45
208,Inferno Heavy Missile,45
31171,Small Low Friction Nozzle Joints II,45
43896,Medium Command Processor I,45
12787,Null L,44
16467,Medium Gremlin Compact Energy Neutralizer,44
19810,Peripheral Compact Target Painter,44
33894,Medium Transverse Bulkhead I,44
42832,Armor Energizing Charge,44
486,200mm AutoCannon I,44
49711,Drekavac,44
5051,Heavy F-RX Compact Capacitor Booster,44
54291,Enduring Multispectrum Shield Hardener,44
8419,Large Azeotropic Restrained Shield Extender,44
11644,Kinetic Armor Hardener II,43
12777,Hail M,43
14270,Shadow Serpentis Stasis Webifier,43
31876,Caldari Navy Wasp,43
31888,Republic Fleet Warrior,43
34278,Polarized Light Neutron Blaster,43
3512,Focused Medium Pulse Laser II,43
47447,C3-A 'Hivaa Saitsuo' Ballistic Control System,43
47886,Tetryon Exotic Plasma M,43
9944,Magnetic Field Stabilizer I,43
11640,Warp Core Stabilizer II,42
12356,350mm Railgun II,42
14072,True Sansha Energized Adaptive Nano Membrane,42
19282,Pith X-Type EM Shield Hardener,42
21904,Republic Fleet Fusion M,42
21922,Republic Fleet Phased Plasma M,42
28744,Thukker Large Shield Extender,42
31045,Small Auxiliary Nano Pump I,42
35657,100MN Y-S8 Compact Afterburner,42
45589,Tengu Defensive - Covert Reconfiguration,42
8175,Type-D Restrained Capacitor Power Relay,42
11642,EM Armor Hardener II,41
12068,100MN Afterburner II,41
13943,True Sansha Heat Sink,41
16527,'Arbalest' Rocket Launcher I,41
18639,Expanded Probe Launcher I,41
22961,Federation Navy Antimatter Charge S,41
24509,Mjolnir Fury Heavy Missile,41
2873,125mm Gatling AutoCannon II,41
2881,150mm Light AutoCannon II,41
3488,Small Cap Battery II,41
42526,Armor Command Burst I,41
4260,Expanded Probe Launcher II,41
45614,Tengu Propulsion - Chassis Optimization,41
47926,Occult S,41
8433,Medium Azeotropic Restrained Shield Extender,41
12557,Gleam S,40
15887,Caldari Navy Warp Scrambler,40
16391,Prototype Energized Adaptive Nano Membrane I,40
19295,Pith X-Type Shield Boost Amplifier,40
1987,Signal Amplifier II,40
2953,Dual 650mm Repeating Cannon II,40
45595,Loki Defensive - Covert Reconfiguration,40
499,Light Missile Launcher I,40
8091,TE-2100 Ample Light Missile Launcher,40
19200,Gist X-Type Large Shield Booster,39
23009,Caldari Navy Antimatter Charge S,39
24486,Inferno Rage Heavy Assault Missile,39
27435,Caldari Navy Mjolnir Heavy Missile,39
33896,Medium Transverse Bulkhead II,39
45591,Tengu Defensive - Amplification Node,39
46001,Agency 'Hardshell' TB3 Dose I,39
47931,Mystic M,39
47934,Occult L,39
7703,Modal Neutron Particle Accelerator I,39
11309,400mm Rolled Tungsten Compact Plates,38
12259,Medium Energy Nosferatu II,38
12614,Null S,38
12814,Conflagration M,38
16457,Crosslink Compact Ballistic Control System,38
21924,Republic Fleet Phased Plasma S,38
24488,Nova Rage Heavy Assault Missile,38
25707,Prototype 'Arbalest' Heavy Assault Missile Launcher I,38
26368,Large Egress Port Maximizer II,38
27413,Caldari Navy Scourge Heavy Assault Missile,38
28211,Garde II,38
29986,Legion,38
47919,Veles Heavy Entropic Disintegrator,38
16455,Large Solace Scoped Remote Armor Repairer,37
17843,Vexor Navy Issue,37
18710,Centii A-Type Multispectrum Coating,37
19325,Coreli A-Type 5MN Microwarpdrive,37
25892,Large Thermal Armor Reinforcer I,37
26294,Large Auxiliary Nano Pump II,37
29015,Targeting Range Dampening Script,37
31105,Small Auxiliary Thrusters I,37
31125,Medium Cargohold Optimization II,37
4254,Micro Auxiliary Power Core II,37
8263,Mark I Compact Reactor Control Unit,37
8335,Type-D Restrained Shield Power Relay,37
8521,Small F-S9 Regolith Compact Shield Extender,37
10680,125mm Railgun II,36
11563,Micro Auxiliary Power Core I,36
12773,Barrage M,36
17500,Caldari Navy Stasis Webifier,36
18692,Coreli A-Type 1MN Afterburner,36
2444,Ogre I,36
31173,Medium Low Friction Nozzle Joints II,36
31752,Small Thermal Shield Reinforcer I,36
434,5MN Microwarpdrive I,36
43556,Skirmish Command Burst II,36
10850,Medium Shield Booster II,35
12805,Spike M,35
13945,Shadow Serpentis Magnetic Field Stabilizer,35
13969,Dread Guristas Multispectrum Shield Hardener,35
14140,True Sansha Cap Recharger,35
16449,Large I-ax Enduring Remote Armor Repairer,35
19017,Corpum C-Type Medium Armor Repairer,35
19359,Gist X-Type 500MN Microwarpdrive,35
2050,Gistum C-Type Multispectrum Shield Hardener,35
238,Antimatter Charge L,35
24535,Mjolnir Fury Cruise Missile,35
26414,Large Warhead Rigor Catalyst II,35
28288,'Augmented' Ogre,35
28377,Caldari Navy Heavy Assault Missile Launcher,35
28646,Covert Cynosural Field Generator I,35
31017,Medium Explosive Armor Reinforcer II,35
31041,Medium Thermal Armor Reinforcer II,35
33332,Navy Cap Booster 50,35
41200,Shadow Serpentis Damage Control,35
46003,Agency 'Hardshell' TB7 Dose III,35
47915,Veles Light Entropic Disintegrator,35
562,Light Electron Blaster I,35
564,Light Neutron Blaster I,35
638,Raven,35
12559,Aurora S,34
16441,Medium I-ax Enduring Remote Armor Repairer,34
16533,'Stalwart' Particle Field Magnifier,34
22229,Ice Harvester II,34
3009,Focused Medium Beam Laser II,34
31071,Medium Nanobot Accelerator II,34
31758,Small Thermal Shield Reinforcer II,34
33446,Caldari Navy Rapid Heavy Missile Launcher,34
33898,Large Transverse Bulkhead I,34
400,Small Shield Booster II,34
42529,Shield Command Burst I,34
4471,Small Infectious Scoped Energy Neutralizer,34
46005,Agency 'Overclocker' SB5 Dose II,34
47933,Meson Exotic Plasma L,34
47935,Mystic L,34
5533,Type-D Restrained Inertial Stabilizers,34
5945,500MN Cold-Gas Enduring Microwarpdrive,34
8585,Medium S95a Scoped Remote Shield Booster,34
11561,Shield Boost Amplifier I,33
1195,Cap Recharger I,33
12084,500MN Microwarpdrive II,33
12608,Hail S,33
12625,Barrage S,33
12801,Javelin M,33
12818,Scorch M,33
14230,Dread Guristas Co-Processor,33
16505,Medium Ghoul Compact Energy Nosferatu,33
16535,'Copasetic' Particle Field Acceleration,33
17480,Procurer,33
18829,Corpum C-Type Energized Adaptive Nano Membrane,33
19009,Centii A-Type Small Armor Repairer,33
19227,Pithum A-Type Thermal Shield Amplifier,33
2299,Kinetic Shield Hardener II,33
30834,Data Analyzer II,33
3098,75mm Gatling Rail II,33
31183,Small Polycarbon Engine Housing II,33
31818,Medium Core Defense Operational Solidifier I,33
32880,Venture,33
41201,Syndicate Damage Control,33
4258,Core Probe Launcher II,33
5011,Small F-RX Compact Capacitor Booster,33
5405,Initiated Compact Warp Disruptor,33
11349,200mm Rolled Tungsten Compact Plates,32
19231,Pithum A-Type EM Shield Amplifier,32
19301,Gist X-Type Shield Boost Amplifier,32
21894,Republic Fleet EMP L,32
2331,Shield Power Relay I,32
2436,Wasp II,32
26931,Small Processor Overclocking Unit II,32
41415,Fighter Support Unit II,32
45615,Tengu Propulsion - Fuel Catalyst,32
47918,Heavy Entropic Disintegrator II,32
52250,Nergal,32
8635,Large Murky Compact Remote Shield Booster,32
11379,Hawk,31
12618,Spike S,31
15965,Republic Fleet Tracking Enhancer,31
19151,Pithum A-Type Medium Remote Shield Booster,31
19187,Pithum C-Type Medium Shield Booster,31
2038,Cargo Scanner II,31
21906,Republic Fleet Fusion S,31
24638,Zainou 'Deadeye' Rapid Launch RL-1005,31
25918,Large Drone Mining Augmentor I,31
26298,Large Remote Repair Augmentor II,31
28276,'Augmented' Hobgoblin,31
31161,Medium Hyperspatial Velocity Optimizer I,31
31484,Small Energy Locus Coordinator II,31
42694,Active Shielding Charge,31
42840,Rapid Deployment Charge,31
45633,Loki Core - Immobility Drivers,31
22107,Mid-grade Crystal Alpha,30
22109,Mid-grade Crystal Delta,30
2297,Explosive Shield Hardener II,30
24471,Scourge Rage Rocket,30
24507,Nova Fury Heavy Missile,30
31179,Medium Polycarbon Engine Housing I,30
31201,Small Emission Scope Sharpener I,30
3162,Light Electron Blaster II,30
34483,Shadow Serpentis Inertial Stabilizers,30
35789,Astro-Inertial Compact Missile Guidance Computer,30
45608,Loki Offensive - Launcher Efficiency Configuration,30
47928,Baryon Exotic Plasma M,30
6325,Fourier Compact Tracking Enhancer,30
6719,Small Focused Modulated Energy Beam I,30
6963,Heavy Modulated Energy Beam I,30
7827,Modal Mega Ion Particle Accelerator I,30
9451,720mm 'Scout' Artillery I,30
11267,Energized Adaptive Nano Membrane I,29
13320,Cruise Missile Launcher I,29
14144,Dark Blood Capacitor Power Relay,29
16242,Thrasher,29
16497,Heavy Ghoul Compact Energy Nosferatu,29
17636,Raven Navy Issue,29
18799,Corelum C-Type Energized Adaptive Nano Membrane,29
19029,Corelum C-Type Medium Armor Repairer,29
22108,Mid-grade Crystal Beta,29
22110,Mid-grade Crystal Epsilon,29
24700,Myrmidon,29
2575,Radar ECM II,29
28209,Warden II,29
29988,Proteus,29
31526,Small Hybrid Burst Aerator I,29
31878,Caldari Navy Warden,29
33103,Large Ancillary Armor Repairer,29
33153,Drake Navy Issue,29
33472,Nestor,29
33915,Medium Micro Jump Drive,29
42839,Interdiction Maneuvers Charge,29
439,1MN Afterburner I,29
4569,Medium I-a Enduring Armor Repairer,29
47925,Meson Exotic Plasma S,29
14146,True Sansha Capacitor Power Relay,28
15508,Vespa I,28
15792,Federation Navy Tracking Computer,28
16240,Catalyst,28
16537,Vigor Compact Micro Auxiliary Power Core,28
18831,Centum C-Type Energized Adaptive Nano Membrane,28
20138,Heavy Assault Missile Launcher I,28
206,Nova Heavy Missile,28
22111,Mid-grade Crystal Gamma,28
23113,Imperial Navy Standard L,28
23711,Light Armor Maintenance Bot I,28
2603,Nanofiber Internal Structure I,28
28710,Golem,28
30832,Relic Analyzer II,28
31486,Medium Energy Locus Coordinator II,28
31810,Small Core Defense Field Purger II,28
31998,Navy Cap Booster 200,28
42834,Armor Reinforcement Charge,28
4348,Pithum B-Type Multispectrum Shield Hardener,28
4573,Medium ACM Compact Armor Repairer,28
574,425mm Railgun I,28
6569,ML-3 Scoped Survey Scanner,28
8869,200mm Light Prototype Automatic Cannon,28
9327,800mm Heavy 'Scout' Repeating Cannon I,28
9580,Compact EM Shield Amplifier,28
10694,125mm Prototype Gauss Gun,27
10888,X-Large C5-L Compact Shield Booster,27
11317,800mm Rolled Tungsten Compact Plates,27
12056,10MN Afterburner I,27
15739,Federation Navy Energized Adaptive Nano Membrane,27
16068,Caldari Navy Light Missile Launcher,27
16477,Heavy Infectious Scoped Energy Neutralizer,27
19211,Pithum C-Type Thermal Shield Amplifier,27
19812,Parallel Enduring Target Painter,27
213,Nova Light Missile,27
21902,Republic Fleet Fusion L,27
23079,Imperial Navy Standard S,27
254,Multifrequency M,27
3001,Dual Light Pulse Laser II,27
31280,Small Ionic Field Projector II,27
31406,Small Semiconductor Memory Cell I,27
41489,Cap Booster 3200,27
597,Punisher,27
6176,F-12 Enduring Tracking Computer,27
6637,Dual Anode Light Particle Stream I,27
7371,250mm Carbide Railgun I,27
10842,X-Large Shield Booster II,26
11285,Cap Booster 200,26
13941,Dark Blood Heat Sink,26
14070,Dark Blood Energized Adaptive Nano Membrane,26
16238,Cormorant,26
16303,'Halcyon' Core Equalizer I,26
207,Mjolnir Heavy Missile,26
2173,Infiltrator I,26
23533,Omnidirectional Tracking Link I,26
26322,Large Hyperspatial Velocity Optimizer II,26
27395,Caldari Navy Scourge Cruise Missile,26
2921,650mm Artillery Cannon II,26
31117,Small Cargohold Optimization I,26
31562,Small Hybrid Locus Coordinator I,26
33475,Mobile Tractor Unit,26
42528,Mining Foreman Burst I,26
46004,Agency 'Overclocker' SB3 Dose I,26
47927,Mystic S,26
526,Stasis Webifier I,26
5399,J5 Enduring Warp Disruptor,26
641,Megathron,26
8101,'Malkuth' Heavy Missile Launcher I,26
14142,Dark Blood Cap Recharger,25
16227,Ferox,25
16229,Brutix,25
16311,'Refuge' Adaptive Nano Plating I,25
17498,Caldari Navy Multispectrum Shield Hardener,25
18676,Gist X-Type 100MN Afterburner,25
19027,Centum A-Type Medium Armor Repairer,25
211,Inferno Light Missile,25
22993,Federation Navy Antimatter Charge L,25
23051,Caldari Navy Tungsten Charge L,25
24492,Scourge Javelin Heavy Assault Missile,25
24531,Nova Fury Cruise Missile,25
246,Multifrequency S,25
25898,Large Nanobot Accelerator I,25
28213,Curator II,25
31009,Small Explosive Armor Reinforcer I,25
31035,Medium Thermal Armor Reinforcer I,25
31155,Medium Low Friction Nozzle Joints I,25
31408,Medium Semiconductor Memory Cell I,25
3154,Ion Blaster Cannon II,25
31620,Small Warhead Calefaction Catalyst I,25
33178,Scan Pinpointing Array I,25
33824,Omnidirectional Tracking Enhancer II,25
4147,Dual Heavy Pulse Laser II,25
45586,Legion Defensive - Covert Reconfiguration,25
45621,Loki Propulsion - Wake Limiter,25
